DrugBank ID,Similar Structure
DB00007,"['DB00007', ' DB06825', ' DB11510', ' DB00666', ' DB18169', ' DB06719', ' DB00644', ' DB04931', ' DB06788', ' DB14027', ' DB05479', ' DB15314', ' DB15194', ' DB01284', ' DB13298', ' DB15687', ' DB00014', ' DB11724', ' DB13928', ' DB14803', ' DB15272', ' DB17938', ' DB12199', ' DB11700', ' DB16013', ' DB14786', ' DB06610', ' DB14777', ' DB11720', ' DB16146']"
DB00014,"['DB00014', ' DB06719', ' DB00644', ' DB00007', ' DB06825', ' DB11510', ' DB00666', ' DB04931', ' DB18169', ' DB13298', ' DB05479', ' DB15314', ' DB14027', ' DB01284', ' DB06788', ' DB15687', ' DB15194', ' DB14803', ' DB13928', ' DB11700', ' DB11724', ' DB11975', ' DB15272', ' DB13742', ' DB16146', ' DB01278', ' DB12631', ' DB05724', ' DB14786', ' DB06763']"
DB00035,"['DB00035', ' DB14642', ' DB13798', ' DB00067', ' DB09059', ' DB15195', ' DB12495', ' DB08890', ' DB05034', ' DB06283', ' DB01278', ' DB05724', ' DB00006', ' DB01282', ' DB08861', ' DB15231', ' DB15355', ' DB17352', ' DB05660', ' DB03632', ' DB16152']"
DB00067,"['DB00067', ' DB14642', ' DB00035', ' DB13798', ' DB12495', ' DB09059', ' DB15195', ' DB08890', ' DB06283', ' DB05034', ' DB01278', ' DB01282', ' DB04697']"
DB00125,"['DB00125', ' DB04027', ' DB11815', ' DB03144', ' DB02302', ' DB13207', ' DB15993', ' DB02644', ' DB03305', ' DB04223', ' DB03974', ' DB03953']"
DB00180,"['DB00180', ' DB14662', ' DB00591', ' DB01047', ' DB18738', ' DB00846', ' DB01260', ' DB08973', ' DB14673', ' DB01222', ' DB00288', ' DB01410', ' DB14637', ' DB14657', ' DB15835', ' DB15777', ' DB15821', ' DB06786', ' DB06781', ' DB01384', ' DB09378', ' DB14664', ' DB12553', ' DB01130', ' DB08971', ' DB14652', ' DB13223', ' DB12322', ' DB00223', ' DB00663']"
DB00182,"['DB00182', ' DB01576', ' DB00191', ' DB02972', ' DB09250', ' DB01577', ' DB09571', ' DB04484', ' DB01365', ' DB13285', ' DB04325', ' DB01560', ' DB07910', ' DB00752', ' DB02665', ' DB09352', ' DB04410', ' DB00397', ' DB01486']"
DB00187,"['DB00187', ' DB00264', ' DB00335', ' DB06987', ' DB13443']"
DB00191,"['DB00191', ' DB00182', ' DB01576', ' DB01365', ' DB02972', ' DB09250', ' DB01577', ' DB09571', ' DB01556', ' DB04484', ' DB00752', ' DB02665', ' DB13285']"
DB00193,"['DB00193', ' DB16100', ' DB00505', ' DB00376', ' DB00387', ' DB00942']"
DB00195,"['DB00195', ' DB09351', ' DB00264', ' DB00335', ' DB06987', ' DB13443']"
DB00211,['DB00211']
DB00214,['DB00214']
DB00221,"['DB00221', ' DB01064', ' DB13559', ' DB01288', ' DB06707', ' DB01102', ' DB06814', ' DB00867', ' DB00668', ' DB06152', ' DB00816', ' DB11610', ' DB08957', ' DB00871', ' DB00610', ' DB08985']"
DB00223,"['DB00223', ' DB00663', ' DB09095', ' DB12553', ' DB00596', ' DB01384', ' DB09378', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB00324', ' DB08971', ' DB13728', ' DB00620', ' DB08970', ' DB13223', ' DB00547', ' DB14664', ' DB11750', ' DB06781', ' DB13867', ' DB14637', ' DB14657', ' DB14640', ' DB14649', ' DB15777', ' DB15821', ' DB00687', ' DB14669']"
DB00232,"['DB00232', ' DB01021', ' DB08645', ' DB01324', ' DB15861', ' DB13430', ' DB13532', ' DB13989', ' DB00999', ' DB00606']"
DB00240,"['DB00240', ' DB00764', ' DB00860', ' DB00959', ' DB14221', ' DB00838', ' DB00394', ' DB13208', ' DB00896', ' DB13856', ' DB15970', ' DB14652', ' DB14631']"
DB00253,"['DB00253', ' DB04652', ' DB04630', ' DB00741', ' DB13710', ' DB13230', ' DB14570', ' DB00624', ' DB01471', ' DB01543', ' DB01564', ' DB05830', ' DB06710', ' DB07768', ' DB11429', ' DB12787', ' DB13169', ' DB13533', ' DB14093', ' DB18000', ' DB09091', ' DB14584', ' DB01481', ' DB01572', ' DB01485', ' DB01500', ' DB01540', ' DB00367', ' DB00717', ' DB09389']"
DB00264,"['DB00264', ' DB00195', ' DB09351', ' DB00335', ' DB06987', ' DB13443', ' DB00187', ' DB00612', ' DB13777', ' DB00866']"
DB00288,"['DB00288', ' DB18737', ' DB01047', ' DB01410', ' DB00591', ' DB14662', ' DB01222', ' DB00180', ' DB01260', ' DB14673', ' DB14640', ' DB14649', ' DB01130', ' DB06781', ' DB14634', ' DB06786', ' DB01013', ' DB00846', ' DB14664', ' DB13664', ' DB15835', ' DB14643', ' DB12322', ' DB08973', ' DB00620', ' DB14637', ' DB14657', ' DB14632', ' DB11487', ' DB15999']"
DB00295,"['DB00295', ' DB00318', ' DB01477', ' DB01466', ' DB11490', ' DB09209', ' DB01573', ' DB01480', ' DB01497', ' DB01568', ' DB01469', ' DB01452', ' DB01565', ' DB01512', ' DB01551', ' DB00844', ' DB06409', ' DB15341', ' DB00921', ' DB01450', ' DB01548', ' DB14146', ' DB06230', ' DB16072', ' DB16117', ' DB13454', ' DB09049', ' DB00704', ' DB01192', ' DB06800']"
DB00310,"['DB00310', ' DB08046']"
DB00311,"['DB00311', ' DB08765']"
DB00324,"['DB00324', ' DB00443', ' DB01234', ' DB11522', ' DB13491', ' DB00547', ' DB00620', ' DB08970', ' DB11750', ' DB00223', ' DB00663', ' DB09095', ' DB12553', ' DB14640', ' DB14649', ' DB00596', ' DB14669', ' DB00687', ' DB01384', ' DB09378', ' DB08971', ' DB13158', ' DB14634', ' DB00860', ' DB00959', ' DB13223', ' DB13728', ' DB01185', ' DB14664', ' DB00896']"
DB00327,"['DB00327', ' DB00956', ' DB00704', ' DB01192', ' DB06800', ' DB00497', ' DB01183', ' DB04509', ' DB01531', ' DB01565', ' DB01551', ' DB06230', ' DB01512', ' DB00844', ' DB00921', ' DB01450', ' DB01548', ' DB16072', ' DB15341', ' DB16117', ' DB14146', ' DB01538', ' DB09049', ' DB01480', ' DB01497', ' DB00295', ' DB00318', ' DB13471', ' DB01477', ' DB01466']"
DB00333,"['DB00333', ' DB13515', ' DB15198', ' DB01491', ' DB11609', ' DB15597', ' DB13436', ' DB13361', ' DB01498']"
DB00335,"['DB00335', ' DB06987', ' DB13443', ' DB00264', ' DB00187', ' DB00195', ' DB09351']"
DB00357,"['DB00357', ' DB01437', ' DB13413', ' DB08997']"
DB00368,"['DB00368', ' DB00668', ' DB13378', ' DB06707', ' DB00988', ' DB01064', ' DB13251', ' DB00388', ' DB08985', ' DB08957', ' DB00610', ' DB13494', ' DB13917', ' DB09203']"
DB00373,['DB00373']
DB00384,"['DB00384', ' DB05552']"
DB00394,"['DB00394', ' DB14221', ' DB14643', ' DB14632', ' DB15999', ' DB14653', ' DB14633', ' DB14644', ' DB14652', ' DB15566', ' DB00240', ' DB00764', ' DB01130', ' DB14538', ' DB14543', ' DB01013', ' DB14540', ' DB14544', ' DB01410', ' DB06781', ' DB14512', ' DB14637', ' DB14657', ' DB14640', ' DB14649', ' DB14541', ' DB14625', ' DB14646', ' DB15777', ' DB14545']"
DB00421,"['DB00421', ' DB08804', ' DB13943', ' DB13944', ' DB13946', ' DB16001', ' DB16002', ' DB16141', ' DB01395']"
DB00422,"['DB00422', ' DB06701']"
