DrugBank ID,Doping,Similar Structure
DB00006,0,"DB00006, DB16152, DB05660, DB15231, DB11890, DB15195, DB16146, DB03632, DB12126, DB17352, DB05034, DB16687, DB05625, DB15272, DB11720, DB15366, DB15340, DB08890, DB11996, DB18283, DB06260, DB18634, DB13798, DB00035, DB13742, DB05724, DB15636, DB14806, DB09059, DB14786"
DB00007,1,"DB00007, DB06825, DB11510, DB00666, DB18169, DB06719, DB00644, DB04931, DB06788, DB14027, DB05479, DB15314, DB15194, DB01284, DB13298, DB15687, DB00014, DB11724, DB13928, DB14803, DB15272, DB17938, DB12199, DB11700, DB16013, DB14786, DB06610, DB14777, DB11720, DB16146"
DB00014,1,"DB00014, DB06719, DB00644, DB00007, DB06825, DB11510, DB00666, DB04931, DB18169, DB13298, DB05479, DB15314, DB14027, DB01284, DB06788, DB15687, DB15194, DB14803, DB13928, DB11700, DB11724, DB11975, DB15272, DB13742, DB16146, DB01278, DB12631, DB05724, DB14786, DB06763"
DB00027,0,"DB00027, DB12748, DB14777, DB12054, DB18252, DB06610, DB12777, DB17938, DB02255, DB18527, DB16013, DB04894, DB12292, DB13074, DB06791, DB17503, DB06645, DB15272, DB12088, DB14786, DB12602, DB18190, DB15494, DB17969, DB16146, DB17160, DB17278, DB18169, DB17536, DB11628"
DB00035,1,"DB00035, DB14642, DB13798, DB00067, DB09059, DB15195, DB12495, DB08890, DB05034, DB06283, DB01278, DB05724, DB00006, DB01282, DB08861, DB15231, DB15355, DB17352, DB05660, DB03632, DB16152"
DB00050,0,"DB00050, DB12581, DB05624, DB00106, DB06785, DB11906, DB06610, DB00666, DB16013, DB17938, DB15272, DB00007, DB06825, DB11510, DB14786, DB14777, DB18169, DB16146, DB06719, DB11975, DB12777, DB06699, DB00644, DB18527, DB12199, DB00027, DB05625, DB04931, DB12054, DB17277"
DB00067,1,"DB00067, DB14642, DB00035, DB13798, DB12495, DB09059, DB15195, DB08890, DB06283, DB05034, DB01278, DB01282, DB04697"
DB00080,0,"DB00080, DB12076, DB16146, DB13928, DB15194, DB14806, DB15272, DB14027, DB15636, DB14786, DB01284, DB15687, DB13298, DB17277, DB04931, DB05479, DB15314, DB00403, DB12538, DB13742, DB06719, DB17503, DB06663, DB13345, DB17536, DB14777, DB00320, DB12292, DB12755, DB11274"
DB00091,0,"DB00091, DB12139, DB13068, DB11693, DB18246, DB11869, DB00803, DB11801, DB05434"
DB00106,0,"DB00106, DB05624, DB00050, DB12581, DB06785, DB11906, DB14777, DB18527, DB06699, DB16146, DB12777, DB15272, DB06610, DB16013, DB17938, DB18169, DB09099, DB14806, DB17503, DB00666, DB06791, DB11628, DB12054, DB11975, DB14786, DB18252, DB00027, DB00007, DB06825, DB11510"
