DrugBank ID,Doping
DB00007,1
DB00014,1
DB00035,1
DB00067,1
DB00125,1
DB00180,1
DB00182,1
DB00187,1
DB00191,1
DB00193,1
DB00195,1
DB00211,1
DB00214,1
DB00221,1
DB00223,1
DB00232,1
DB00240,1
DB00253,1
DB00264,1
DB00288,1
DB00295,1
DB00310,1
DB00311,1
DB00324,1
DB00327,1
DB00333,1
DB00335,1
DB00357,1
DB00368,1
DB00373,1
DB00384,1
DB00394,1
DB00396,0
DB00397,0
DB00421,1
DB00422,1
DB00436,1
DB00443,1
DB00449,1
DB00454,1
DB00460,1
DB00470,1
DB00475,1
DB00481,1
DB00486,1
DB00489,1
DB00497,1
DB00521,1
DB00524,1
DB00539,1
DB00547,1
DB00561,1
DB00562,1
DB00571,1
DB00574,1
DB00579,1
DB00588,1
DB00591,1
DB00594,1
DB00596,1
DB00598,1
DB00606,1
DB00610,1
DB00612,1
DB00620,1
DB00621,1
DB00624,1
DB00635,1
DB00644,1
DB00652,1
DB00663,1
DB00666,1
DB00668,1
DB00675,1
DB00687,1
DB00695,1
DB00700,1
DB00703,1
DB00704,0
DB00708,1
DB00714,1
DB00723,1
DB00741,1
DB00742,1
DB00745,1
DB00764,1
DB00774,1
DB00802,1
DB00808,1
DB00813,1
DB00816,1
DB00819,1
DB00830,1
DB00838,1
DB00841,1
DB00843,0
DB00846,1
DB00852,1
DB00858,1
DB00860,1
DB00865,1
DB00866,1
DB00867,1
DB00869,1
DB00871,1
DB00872,1
DB14596,1
DB00880,1
DB00882,1
DB00883,1
DB00887,1
DB00894,1
DB00896,1
DB00899,1
DB00901,1
DB00903,1
DB00907,1
DB00921,1
DB00937,1
DB00938,1
DB00947,1
DB00959,1
DB00960,1
DB00983,1
DB00984,1
DB00990,1
DB00999,1
DB01001,1
DB01006,1
DB01013,1
DB01020,1
DB01021,1
DB01032,1
DB01037,1
DB01047,1
DB01064,1
DB01105,1
DB01130,1
DB01134,1
DB01136,1
DB01144,1
DB01185,1
DB01191,1
DB01192,1
DB01193,1
DB01194,1
DB01203,1
DB01210,1
DB01214,1
DB01217,1
DB01222,1
DB01230,1
DB01234,1
DB01240,1
DB01255,1
DB01260,1
DB01274,1
DB01284,1
DB01288,1
DB01291,1
DB01324,1
DB01325,1
DB01364,1
DB01365,1
DB01366,1
DB01380,1
DB01384,0
DB01406,1
DB01407,1
DB01408,1
DB01410,1
DB01420,1
DB01434,1
DB01439,1
DB01443,1
DB01450,1
DB01451,1
DB01452,1
DB01453,1
DB01455,1
DB01456,1
DB01458,1
DB01463,1
DB01465,1
DB01467,1
DB01469,1
DB01470,1
DB01471,1
DB01472,1
DB01474,1
DB01479,1
DB01480,1
DB01481,1
DB01482,1
DB01484,1
DB01485,1
DB01486,1
DB01493,1
DB01497,1
DB01500,1
DB01503,1
DB01509,1
DB01513,1
DB01514,1
DB01516,1
DB01521,1
DB01524,1
DB01526,1
DB01528,1
DB01529,1
DB01531,1
DB01532,1
DB01536,1
DB01537,1
DB01540,1
DB01541,1
DB01543,1
DB01546,1
DB01550,1
DB01554,1
DB01556,1
DB01557,1
DB01560,1
DB01561,1
DB01562,1
DB01564,1
DB01565,1
DB01566,1
DB01569,1
DB01570,1
DB01571,1
DB01572,1
DB01573,1
DB01576,1
DB01577,1
DB01579,1
DB01580,1
DB01708,1
DB01742,1
DB01761,1
DB01807,1
DB01839,1
DB01873,1
DB02029,1
DB02042,0
DB02159,1
DB02202,0
DB02243,1
DB02277,1
DB02294,1
DB02327,1
DB02404,1
DB02548,0
DB02645,1
DB02726,1
DB02901,1
DB02924,1
DB02925,1
DB02998,1
DB03026,1
DB03056,1
DB03081,1
DB03085,1
DB03218,1
DB03322,1
DB03337,1
DB03350,1
DB03368,1
DB03394,1
DB03508,1
DB03556,1
DB03622,1
DB03748,1
DB03782,1
DB03861,1
DB03882,1
DB03904,1
DB03926,1
DB04113,1
DB04186,1
DB04213,1
DB04325,1
DB04336,1
DB04468,1
DB04630,1
DB04632,1
DB04652,1
DB04727,1
DB04733,1
DB04825,1
DB04846,1
DB04847,1
DB04861,1
DB04862,1
DB04890,1
DB04938,1
DB04980,1
DB05039,1
DB05107,1
DB05212,1
DB05804,1
DB05805,1
DB05830,1
DB06112,1
DB06202,1
DB06212,1
DB06250,1
DB06401,1
DB06409,1
DB06412,1
DB06413,1
DB06444,1
DB06622,1
DB06624,1
DB06645,1
DB06666,1
DB06701,1
DB06706,1
DB06710,1
DB06714,1
DB06718,1
DB06719,1
DB06735,1
DB06738,1
DB06780,1
DB06781,1
DB06786,1
DB06788,1
DB06825,1
DB06870,1
DB06879,1
DB06976,1
DB06987,1
DB07011,1
DB07013,1
DB07110,1
DB07117,1
DB07123,1
DB07132,1
DB07228,1
DB07242,1
DB07247,1
DB07306,1
DB07314,1
DB07360,1
DB07362,1
DB07373,1
DB07384,1
DB07388,1
DB07405,1
DB07419,1
DB07423,1
DB07447,1
DB07451,1
DB07467,1
DB07622,1
DB07672,1
DB07689,1
DB07701,1
DB07765,1
DB07768,1
DB07789,1
DB07807,1
DB07817,1
DB07859,1
DB07917,1
DB07934,1
DB07968,1
DB08005,1
DB08013,1
DB08014,1
DB08043,1
DB08061,1
DB08064,1
DB08071,1
DB08095,1
DB08166,1
DB08192,1
DB08283,1
DB08308,0
DB08357,1
DB08366,1
DB08385,1
DB08387,1
DB08388,1
DB08400,1
DB08421,1
DB08469,1
DB08471,1
DB08619,1
DB08683,1
DB08750,1
DB08804,1
DB08807,1
DB08861,1
DB08905,1
DB08906,1
DB08925,1
DB08941,1
DB08957,1
DB08961,1
DB08970,1
DB08971,1
DB08973,1
DB08985,1
DB08989,1
DB09015,1
DB09022,1
DB09069,1
DB09070,1
DB09080,1
DB09082,1
DB09091,1
DB09095,1
DB09168,1
DB09169,1
DB09170,1
DB09171,1
DB09173,1
DB09177,1
DB09180,1
DB09182,1
DB09338,1
DB09351,1
DB09352,1
DB09378,1
DB09383,1
DB09401,1
DB09510,1
DB09513,1
DB09571,1
DB11278,1
DB11323,1
DB11429,1
DB11466,1
DB11478,1
DB11479,1
DB11487,1
DB11510,1
DB11541,1
DB11551,1
DB11587,1
DB11609,1
DB11610,1
DB11619,1
DB11682,1
DB11750,1
DB11837,1
DB11906,1
DB11921,1
DB12078,1
DB12097,1
DB12100,1
DB12134,1
DB12193,1
DB12194,1
DB12221,1
DB12248,1
DB12255,1
DB12266,1
DB12313,1
DB12370,1
DB12474,1
DB12495,1
DB12643,1
DB12713,1
DB12779,1
DB12787,1
DB12846,1
DB12861,1
DB12923,1
DB12952,1
DB13003,1
DB13074,1
DB13108,1
DB13139,1
DB13158,1
DB13169,1
DB13185,1
DB13208,1
DB13238,1
DB13247,1
DB13251,1
DB13284,1
DB13285,1
DB13298,1
DB13330,1
DB13341,1
DB13378,1
DB13386,1
DB13398,1
DB13405,1
DB13415,1
DB13430,1
DB13438,1
DB13443,1
DB13454,1
DB13455,1
DB13472,1
DB13482,1
DB13484,1
DB13491,1
DB13515,1
DB13530,1
DB13532,1
DB13533,1
DB13559,1
DB13561,1
DB13574,1
DB13586,1
DB13587,1
DB13605,1
DB13606,1
DB13617,1
DB13624,1
DB13625,1
DB13655,1
DB13663,1
DB13692,1
DB13703,1
DB13710,1
DB13723,1
DB13728,1
DB13740,1
DB13758,1
